Entry	Entry name	Protein names	Taxonomic lineage (PHYLUM)	Taxonomic lineage (ORDER)	Taxonomic lineage (SPECIES)	Taxonomic lineage (FAMILY)
A0A3C0ZXC2	A0A3C0ZXC2_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Sarcina sp.	Clostridiaceae
A0A3C0ZXH9	A0A3C0ZXH9_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Sarcina sp.	Clostridiaceae
A0A3C0ZXM2	A0A3C0ZXM2_9CLOT	Cytoplasmic protein	Firmicutes	Eubacteriales	Sarcina sp.	Clostridiaceae
A0A3C0ZYD8	A0A3C0ZYD8_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Sarcina sp.	Clostridiaceae
A0A3C1XDZ1	A0A3C1XDZ1_LACSP	Uncharacterized protein (Fragment)	Firmicutes	Lactobacillales	Lactococcus sp.	Streptococcaceae
A0A3C1XRF1	A0A3C1XRF1_9LACO	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Lactobacillus sp.	Lactobacillaceae
A0A3D0DL64	A0A3D0DL64_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium	Lachnospiraceae
A0A3D0XYP6	A0A3D0XYP6_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridiales bacterium	
A0A3D0XZE0	A0A3D0XZE0_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridiales bacterium	
A0A3D1LUG8	A0A3D1LUG8_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium	Lachnospiraceae
A0A3D1WL38	A0A3D1WL38_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium	Lachnospiraceae
A0A3D2HUJ6	A0A3D2HUJ6_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Ruminococcus sp.	Oscillospiraceae
A0A3D2JJ24	A0A3D2JJ24_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium	Lachnospiraceae
A0A3D2PT48	A0A3D2PT48_9FIRM	Transposase	Firmicutes	Eubacteriales	Roseburia sp.	Lachnospiraceae
A0A3D4J7I6	A0A3D4J7I6_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Erysipelotrichaceae bacterium	Erysipelotrichaceae
A0A3D4JIR6	A0A3D4JIR6_9FIRM	Cytoplasmic protein	Firmicutes	Eubacteriales	Ruminococcus sp.	Oscillospiraceae
A0A3D4JJ25	A0A3D4JJ25_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Ruminococcus sp.	Oscillospiraceae
A0A3D4KTD6	A0A3D4KTD6_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium	Lachnospiraceae
A0A3D5KGG2	A0A3D5KGG2_CLOSP	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium sp.	Clostridiaceae
A0A3D5U4I3	A0A3D5U4I3_BACSP	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp.	Bacillaceae
A0A3D8TSU8	A0A3D8TSU8_9LIST	Uncharacterized protein	Firmicutes	Bacillales	Listeria kieliensis	Listeriaceae
A0A3D8TTE8	A0A3D8TTE8_9LIST	Uncharacterized protein	Firmicutes	Bacillales	Listeria kieliensis	Listeriaceae
A0A3D9GX98	A0A3D9GX98_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. VMFN-D1	Paenibacillaceae
A0A3E0WL75	A0A3E0WL75_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Virgibacillus dokdonensis	Bacillaceae
A0A3E0WTJ6	A0A3E0WTJ6_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Virgibacillus dokdonensis	Bacillaceae
A0A3E2VG19	A0A3E2VG19_CLOIN	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Clostridium innocuum	Erysipelotrichaceae
A0A3E3AAN5	A0A3E3AAN5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Erysipelatoclostridium ramosum	Erysipelotrichaceae
A0A3E3DNS0	A0A3E3DNS0_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Hungatella hathewayi	Clostridiaceae
A0A3E4UQ27	A0A3E4UQ27_RUMGN	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Ruminococcus gnavus	Lachnospiraceae
A0A3E4WJ43	A0A3E4WJ43_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A3E4XXM2	A0A3E4XXM2_9FIRM	DUF4176 domain-containing protein (Fragment)	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A3E5AMX4	A0A3E5AMX4_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A3G4YW30	A0A3G4YW30_NIACI	Uncharacterized protein	Firmicutes	Bacillales	Niallia circulans (Bacillus circulans)	Bacillaceae
A0A3G6UJ07	A0A3G6UJ07_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. FJAT-42376	Bacillaceae
A0A3I3	A0A3I3_LIGS1	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus salivarius	Lactobacillaceae
A0A3N0I4L1	A0A3N0I4L1_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Absicoccus porci	Erysipelotrichaceae
A0A3N1XRA9	A0A3N1XRA9_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Mobilisporobacter senegalensis	Lachnospiraceae
A0A3N1XRC9	A0A3N1XRC9_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Mobilisporobacter senegalensis	Lachnospiraceae
A0A3P3U556	A0A3P3U556_9BACL	DUF4176 domain-containing protein	Firmicutes	Bacillales	Paenibacillus oralis	Paenibacillaceae
A0A3P5X3P1	A0A3P5X3P1_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Filibacter tadaridae	Planococcaceae
A0A3Q0NAG8	A0A3Q0NAG8_LISMG	EsaC protein analog (Listeria type 3)	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A3Q8CJN0	A0A3Q8CJN0_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Liquorilactobacillus hordei	Lactobacillaceae
A0A3Q9HW04	A0A3Q9HW04_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A3Q9RIX4	A0A3Q9RIX4_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Peribacillus asahii	Bacillaceae
A0A3R6EFR8	A0A3R6EFR8_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia inulinivorans	Lachnospiraceae
A0A3R6GEX4	A0A3R6GEX4_9FIRM	DUF4176 domain-containing protein (Fragment)	Firmicutes	Eubacteriales	Roseburia inulinivorans	Lachnospiraceae
A0A3R6MLB0	A0A3R6MLB0_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia sp. AF25-25LB	Lachnospiraceae
A0A3R6Q9G4	A0A3R6Q9G4_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia sp. AF25-13LB	Lachnospiraceae
A0A3R6QAF2	A0A3R6QAF2_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia sp. AF25-15LB	Lachnospiraceae
A0A3R9CMV4	A0A3R9CMV4_BACSP	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp.	Bacillaceae
A0A3R9G7W5	A0A3R9G7W5_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9GU17	A0A3R9GU17_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9GYN1	A0A3R9GYN1_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9H2C6	A0A3R9H2C6_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9H5S4	A0A3R9H5S4_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9HFZ7	A0A3R9HFZ7_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9HIM5	A0A3R9HIM5_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9I1P3	A0A3R9I1P3_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9I2T1	A0A3R9I2T1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9I8X2	A0A3R9I8X2_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9ICU3	A0A3R9ICU3_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9INE9	A0A3R9INE9_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9INX7	A0A3R9INX7_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9J1N0	A0A3R9J1N0_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9J495	A0A3R9J495_STRMT	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9J7N6	A0A3R9J7N6_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9JBD5	A0A3R9JBD5_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9JDM5	A0A3R9JDM5_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A3R9JLU3	A0A3R9JLU3_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A3R9JN20	A0A3R9JN20_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A3R9JTI5	A0A3R9JTI5_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9JUS1	A0A3R9JUS1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9JXU2	A0A3R9JXU2_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9K3Z7	A0A3R9K3Z7_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9K4J8	A0A3R9K4J8_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9K815	A0A3R9K815_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9KE11	A0A3R9KE11_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9KGI3	A0A3R9KGI3_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9KJY2	A0A3R9KJY2_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A3R9KLF5	A0A3R9KLF5_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9KND8	A0A3R9KND8_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9KNZ9	A0A3R9KNZ9_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A3R9KPB9	A0A3R9KPB9_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9KQ18	A0A3R9KQ18_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A3R9KYQ6	A0A3R9KYQ6_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9L3X7	A0A3R9L3X7_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9L701	A0A3R9L701_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9L8G5	A0A3R9L8G5_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A3R9L9H8	A0A3R9L9H8_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9LES6	A0A3R9LES6_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9LXV4	A0A3R9LXV4_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9MP10	A0A3R9MP10_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9MPM6	A0A3R9MPM6_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A3R9MV77	A0A3R9MV77_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9MWC1	A0A3R9MWC1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3R9NGJ2	A0A3R9NGJ2_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9NTH0	A0A3R9NTH0_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A3R9RGU6	A0A3R9RGU6_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A3R9S1L4	A0A3R9S1L4_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A3S0TWF1	A0A3S0TWF1_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Peribacillus cavernae	Bacillaceae
A0A3S0TWZ4	A0A3S0TWZ4_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Peribacillus cavernae	Bacillaceae
A0A3S0X8E1	A0A3S0X8E1_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. VKPM B-3276	Bacillaceae
A0A3S0ZVN2	A0A3S0ZVN2_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. VKPM B-3276	Bacillaceae
A0A3S6QN62	A0A3S6QN62_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Liquorilactobacillus hordei	Lactobacillaceae
A0A3S9T665	A0A3S9T665_BACTU	Cytoplasmic protein (DUF4176 domain-containing protein)	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A401ITC6	A0A401ITC6_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus salitolerans	Lactobacillaceae
A0A401ITD4	A0A401ITD4_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus salitolerans	Lactobacillaceae
A0A401ITE7	A0A401ITE7_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus salitolerans	Lactobacillaceae
A0A410WLY7	A0A410WLY7_BACVA	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus vallismortis	Bacillaceae
A0A410WWS8	A0A410WWS8_9BACL	DUF4176 domain-containing protein	Firmicutes	Bacillales	Paenibacillus chitinolyticus	Paenibacillaceae
A0A412B0P0	A0A412B0P0_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia inulinivorans	Lachnospiraceae
A0A412HYX4	A0A412HYX4_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Eubacterium sp. AF22-8LB	Eubacteriaceae
A0A412JAL7	A0A412JAL7_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Holdemanella biformis	Erysipelotrichaceae
A0A412MAD4	A0A412MAD4_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Dorea formicigenerans	Lachnospiraceae
A0A412MAG5	A0A412MAG5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Dorea formicigenerans	Lachnospiraceae
A0A413CXK1	A0A413CXK1_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Holdemanella biformis	Erysipelotrichaceae
A0A413IX75	A0A413IX75_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Tyzzerella nexilis	Lachnospiraceae
A0A413JA14	A0A413JA14_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Tyzzerella nexilis	Lachnospiraceae
A0A413JA34	A0A413JA34_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Tyzzerella nexilis	Lachnospiraceae
A0A413U819	A0A413U819_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A413ZVN7	A0A413ZVN7_9FIRM	DUF4176 domain-containing protein (Fragment)	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A414M1V6	A0A414M1V6_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A414PGN8	A0A414PGN8_STRPA	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus parasanguinis	Streptococcaceae
A0A414SEC7	A0A414SEC7_RUMGN	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Ruminococcus gnavus	Lachnospiraceae
A0A414US73	A0A414US73_RUMGN	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Ruminococcus gnavus	Lachnospiraceae
A0A415ID08	A0A415ID08_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	[Eubacterium] rectale	Lachnospiraceae
A0A415J9L1	A0A415J9L1_BACLI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus licheniformis	Bacillaceae
A0A415PQN5	A0A415PQN5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Amedibacillus dolichus	Erysipelotrichaceae
A0A416H913	A0A416H913_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Coprobacillus sp. OF03-2AA	Coprobacillaceae
A0A416NZM1	A0A416NZM1_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Blautia sp. AF22-5LB	Lachnospiraceae
A0A416RJ05	A0A416RJ05_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Blautia sp. AF19-34	Lachnospiraceae
A0A416U9I5	A0A416U9I5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Blautia sp. AF17-9LB	Lachnospiraceae
A0A416V6T5	A0A416V6T5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Coprococcus sp. AF16-5	Lachnospiraceae
A0A416WHG5	A0A416WHG5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia sp. AF15-21	Lachnospiraceae
A0A416YGN7	A0A416YGN7_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia sp. AF12-17LB	Lachnospiraceae
A0A416ZLV3	A0A416ZLV3_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Blautia sp. AM47-4	Lachnospiraceae
A0A417CZX8	A0A417CZX8_9FIRM	DUF4176 domain-containing protein	Firmicutes		Firmicutes bacterium AM41-11	
A0A417HZH6	A0A417HZH6_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Blautia sp. AM28-10	Lachnospiraceae
A0A417K9N0	A0A417K9N0_9FIRM	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Absiella sp. AM27-20	Erysipelotrichaceae
A0A417TEV1	A0A417TEV1_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia sp. OM04-15AA	Lachnospiraceae
A0A417UPP5	A0A417UPP5_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia sp. OM04-10AA	Lachnospiraceae
A0A417UWU5	A0A417UWU5_9CLOT	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Clostridiaceae bacterium OM02-2AC	Clostridiaceae
A0A421L1C9	A0A421L1C9_9BIFI	Uncharacterized protein	Actinobacteria	Bifidobacteriales	Bifidobacterium sp. wkB344	Bifidobacteriaceae
A0A425WGR1	A0A425WGR1_9ACTN	DUF4176 domain-containing protein	Actinobacteria	Coriobacteriales	Coriobacteriaceae bacterium	Coriobacteriaceae
A0A425WGR5	A0A425WGR5_9ACTN	DUF4176 domain-containing protein (Fragment)	Actinobacteria	Coriobacteriales	Coriobacteriaceae bacterium	Coriobacteriaceae
A0A425WNS7	A0A425WNS7_9ACTN	DUF4176 domain-containing protein	Actinobacteria	Coriobacteriales	Coriobacteriaceae bacterium	Coriobacteriaceae
A0A425WNV1	A0A425WNV1_9ACTN	DUF4176 domain-containing protein	Actinobacteria	Coriobacteriales	Coriobacteriaceae bacterium	Coriobacteriaceae
A0A427RL21	A0A427RL21_BACSP	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp.	Bacillaceae
A0A427RMI5	A0A427RMI5_BACSP	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp.	Bacillaceae
A0A427ZB95	A0A427ZB95_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A427ZIM4	A0A427ZIM4_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A427ZT00	A0A427ZT00_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A428A0F0	A0A428A0F0_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A428AGX3	A0A428AGX3_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A428ALY1	A0A428ALY1_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A428AN39	A0A428AN39_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A428AQ29	A0A428AQ29_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A428AQF3	A0A428AQF3_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A428BKR8	A0A428BKR8_STROR	Transposase	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A428D8U2	A0A428D8U2_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428DEA3	A0A428DEA3_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428DEB7	A0A428DEB7_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428DJY3	A0A428DJY3_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428DKW1	A0A428DKW1_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428EG16	A0A428EG16_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428EHY8	A0A428EHY8_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428EN00	A0A428EN00_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A428EQ34	A0A428EQ34_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A428EVY3	A0A428EVY3_STRIT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A428FJC0	A0A428FJC0_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A428FS61	A0A428FS61_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A428FUT7	A0A428FUT7_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A428FUX2	A0A428FUX2_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A428FUY1	A0A428FUY1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A428GQ96	A0A428GQ96_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A428GXS0	A0A428GXS0_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428H353	A0A428H353_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428HAR9	A0A428HAR9_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428HAX1	A0A428HAX1_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428HAY1	A0A428HAY1_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428HB05	A0A428HB05_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428HC54	A0A428HC54_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428HCF0	A0A428HCF0_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A428HLF7	A0A428HLF7_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A428HMN6	A0A428HMN6_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A428IUD1	A0A428IUD1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A428IX22	A0A428IX22_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A429YN96	A0A429YN96_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Blautia sp. SG-772	Lachnospiraceae
A0A429ZJY3	A0A429ZJY3_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Vagococcus salmoninarum	Enterococcaceae
A0A429ZQ24	A0A429ZQ24_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Vagococcus salmoninarum	Enterococcaceae
A0A429ZQ41	A0A429ZQ41_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Vagococcus salmoninarum	Enterococcaceae
